prompt,A,B,C,D,E,answer,category,Function
국세기본법 및 소득세법상 납세의무의 승계와 연대납세의무에 관한 설명으로 옳지 않은 것은?,"법인이 분할되거나 분할합병된 후 분할되는 법인이 존속하는 경우 분할법인, 분할신설법인 및 분할합병의 상대방 법인은 분할등기일 이후에 분할법인에 부과되거나납세의무가 성립한 국세 및 강제징수비에 대하여 연대하여 납부할 의무가 있다.",법인이 채무자 회생 및 파산에 관한 법률 제215조에 따라 신회사를 설립하는경우기존의 법인에 부과되거나 납세의무가 성립한 국세 및 강제징수비는 신회사가 연대하여 납부할 의무를 진다.,법인이 합병한 경우 합병 후 존속하는 법인 또는 합병으로 설립된 법인은 합병으로소멸된 법인에 부과되거나 그 법인이 납부할 국세 및 강제징수비를 납부할 의무를진다.,소득세법상 공동사업자는 해당 공동 사업자별로 납세의무를 지나 주된 공동사업자에게 합산과세되는 경우에는 주된 공동사업자의 특수관계인은 손익분배비율에 해당하는 그의 소득금액을 한도로 주된 공동사업자와 연대하여 납세의무를 진다.,"법인이 분할 또는 분할합병한 후 소멸하는 경우 분할신설법인, 분할합병의 상대방법인은 분할법인에 부과되거나 분할법인이 납부하여야 할 국세 및 강제징수비에 대하여분할로 승계된 재산가액을 한도로 연대하여 납부할 의무가 있다.",A,Income Tax Law,Thoery
소득세법령상 이자소득에 포함되지 않는 것은?,국가가 발행한 채권으로서 그 원금이 물가에 연동되는 채권의 경우 해당 채권의원금증가분,국외에서 받는 예금의 이자,신용협동조합법에 따른 조합이 환매기간에 따른 사전약정이율을 적용하여 환매수하는 조건으로 매매하는 증권의 매매차익,국채를 공개시장에서 통합발행하는 경우 그 매각가액과 액면가액과의 차액,국가가 발행한 채권이 원금과 이자가 분리되는 경우 원금에 해당하는 채권의 할인액,D,Income Tax Law,Thoery
"B세무서장이 그 관할지역에 납세지를 두고 있는 주식회사 A의 법인소득금액을 경정하면서 주주인 거주자 갑을 귀속자로 하는 배당소득처분을 하고자한다.
그에 관한 설명으로 옳지 않은 것은?",처분되는 배당소득은 B세무서장이 경정일로부터 15일내에 소득금액변동통지서에따라 주식회사 A에 통지해야 한다.,주식회사 A에게 소득금액변동통지서를 송달할 수 없는 경우에는 갑에게 통지해야 한다.,주식회사 A가 소득금액변동통지서에 따라 통지를 받은 경우 주식회사 A는 그 소득금액변동통지의취소를 구하는 행정심판을 제기할 수 있다.,B 세무서장이 A 주식회사에게 소득금액변동통지서를 통지한 경우 통지 하였다는 사실을 갑에게 알려야 한다.,주식회사 A에게 소득금액변동통지서를 통지한 경우 그 통지 하였다는 사실을 甲에게알릴때에는 알리는 내용에 소득금액 변동내용을 포함하여야 한다.,E,Income Tax Law,Thoery
소득세법령상 원천징수시기에 관한 설명으로 옳지 않은 것은?,무기명주식의 이익이나 배당에 대하여는 그 지급을 한 날 소득세를 원천징수한다.,출자공동사업자의 배당소득으로서 과세기간 종료일까지 지급하지 아니한 소득은과세기간 종료일에 그 소득을 지급한 것으로 보아 소득세를 원천징수한다.,원천징수의무자가 12월분의 근로소득을 다음 연도 2월 말일까지 지급하지 아니한경우에는 그 근로소득을 다음 연도 2월 말일에 지급한 것으로 보아 소득세를 원천징수한다.,퇴직소득을 지급하여야 할 원천징수의무자가 1월부터 11월까지의 사이에 퇴직한 사람의퇴직소득을 해당 과세기간의 12월 31일까지 지급하지 아니한 경우에는 그 퇴직소득을12월31일에 지급한 것으로 보아 소득세를 원천징수한다.(공적연금 관련법에 따라 받는 일시금아님),법인세 과세표준을 신고하면서 법인세법에 따라 처분되는 기타소득에 대하여는신고일 또는 수정신고일에 그 기타소득을 지급한 것으로 보아 소득세를 원천징수한다.,B,Income Tax Law,Thoery
소득세법령상 기타소득에 관한 설명으로 옳지 않은 것은? (서화ㆍ골동품의 양도로 발생하는 소득은 고려하지 아니함),"이자소득, 배당소득, 사업소득, 근로소득, 연금소득, 퇴직소득 및 양도소득외의 소득이어야 한다.",노동조합업무종사자로서 근로시간면제자가 노동조합 및 노동관계 조정법상의 근로시간면제한도를 초과하는 범위에서 지급받는 급여는 기타소득에 해당한다.,특정 소득이 기타소득으로 법령에 열거된 것 중 어떤 소득에 해당하는지 여부는기타소득금액에 영향을 미치지 아니한다.,뇌물은 위법소득이지만 기타소득으로 과세된다.,종교인소득에 대하여 근로소득으로 원천징수한 경우에는 해당소득을 근로소득으로본다.,C,Income Tax Law,Thoery
소득세법령상 양도소득과세표준 예정신고 및 결정․경정에 관한설명으로 옳지 않은 것은?,건물을 양도(부담부증여 아님)한 경우에는 그 양도일이 속하는 달의 말일부터 2개월내에 예정신고를 하여야 한다.,법령상의 토지거래계약에 관한 허가구역에 있는 토지를 양도할 때 토지거래계약허가(허가를 받은 후 허가구역 지정이 해제됨)를 받기 전에 대금을 청산한 경우에는그허가일이 속하는 달의 말일부터 2개월 내에 예정신고를 하여야 한다.,해당 과세기간에 누진세율의 적용대상 자산에 대한 예정신고를 2회 이상 하는 경우에는이미 신고한 양도소득금액과 합산하여 신고하여야 한다.,납세지 관할 세무서장 또는 지방국세청장은 예정신고를 하여야 할 자가 그 신고를하지아니한 경우에는 해당 거주자의 양도소득과세표준과 세액을 결정한다,건물을 부담부증여하는 경우 부담부증여의 채무액에 해당하는 부분으로서 양도로보는경우에는 그 양도일이 속하는 달의 말일부터 3개월 내에 예정신고를 하여야 한다.,C,Income Tax Law,Thoery
소득세법령상 거주자 갑이 배우자 및 직계존비속이 아닌 특수관계인에게 2023. 3. 1.에 자산을 증여한 후 그 자산을 증여받은 자가 그 증여일부터 10년이내에 다시 타인에게 양도한 경우에 관한 설명으로 옳은 것은?,"갑이 그 자산을 직접 양도한 것으로 보되, 특수관계인이 증여세를 납부한다는 점을 고려하여 양도차익 계산시 취득가액은 증여시의 가액으로 한다.",갑이 자산을 직접 양도한 것으로 보는 경우 그 양도소득에 대해서는 갑과 증여받은자가 연대하여 납세의무를 진다.,갑에게 양도소득세가 과세되는 경우에는 수증자가 당초 증여받은 자산에 대하여납부한 증여세는 필요경비에 산입한다.,양도소득이 수증자에게 실질적으로 귀속된 경우에도 갑이 그 자산을 직접 양도한것으로 본다.,특수관계인이 그 자산을 양도한 것으로 보되 양도차익 계산시 취득가액은 甲의취득당시 가액으로 한다,B,Income Tax Law,Thoery
"주식회사 A는 제3기 사업연도(2014.1.1.～12.31.)의 매출기록을조작하는 방식으로 매출을 일부 누락하여 법인세를 신고, 납부하였다. 그 사실을알게 된 과세관청은 2021.2.2. 주식회사 A에게 법인세 부과처분을 함과 동시에 익금에산입한 금액의 사외유출 귀속처가 불분명하다고 보아 대표이사인 갑에게 상여로 소득처분함을 내용으로 하는 소득금액 변동 통지를 하였다. 이에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)",소득처분 관련 갑의 소득세 납세의무의 성립시기는 2014년이 끝나는 때이다.,갑이 사외유출된 금액이 자신에게 귀속되지 아니하였다는 점만을 입증하였다면 소득세납세의무를 면할 수 없다.,주식회사 A에 대한 소득금액변동통지는 행정소송의 대상이 될 수 있는 “처분”에 해당한다.,"갑이 스스로 부정행위를 하지 아니하였고 2014년 과세기간 귀속 소득의 소득세 신고를법정신고기한까지 한 경우라면, 갑에 대한 소득세 부과제척기간의 만료일은 2020.5.31.이다",갑에 대한 소득세 부과제척기간이 도과 하였다면 주식회사 A에 대한 소득금액변동통지는위법하다.,B,Income Tax Law,Thoery
소득세법상 결손금 또는 이월결손금에 관한 설명으로 옳은 것은?,"사업소득금액을 계산할 때 발생한 결손금은 이자소득금액, 배당소득금액, 근로소득금액, 연금소득금액, 기타소득금액에서 순서대로 공제한다.",부동산임대업(주거용 건물 임대업 포함)에서 발생한 결손금은 종합소득 과세표준을계산할 때 공제하지 않는다,부동산임대업을 제외한 일반업종 사업소득에서 발생한 결손금은 부동산임대업에서발생한 소득금액이 있는 경우에도 그 부동산임대업의 소득금액에서 공제하지 않는다.,"소득금액을 추계신고하는 경우에는 이월결손금 공제규정을 적용하지 않는다. 다만, 천재지변으로 장부가 멸실되어 추계신고를 하는 경우라면 이월결손금 공제규정을적용한다.",해당 과세기간 중 발생한 결손금과 이월결손금이 모두 존재하는 경우에는 이월결손금을 먼저 소득금액에서 공제한다.,D,Income Tax Law,Thoery
소득세법상 부당행위계산 부인에 관한 설명으로 옳지 않은 것은?,필요경비의 크기에 대하여 입증을 요구하지 않는 소득인 근로소득과 연금소득은부당행위계산 부인의 대상이 되는 소득으로 규정되어 있지 않다.,배당소득과 이자소득은 필요경비가 인정되지 않는 소득이다. 따라서 배당소득과이자소득 전체는 부당행위계산 부인의 대상이 되는 소득으로 규정되어 있지 않다.,과세표준의 계산과정이 세법의 규정대로 이루어지는 퇴직소득은 부당행위계산 부인의대상이 되는 소득으로 규정되어 있지 않다.,직계존비속에게 주택을 무상으로 사용하게 하고 직계존비속이 그 주택에 실제로거주하는 경우는 부당행위계산 부인의 대상에서 제외된다.,제조업 영위 개인사업자가 여유자금을 인출하여 부친에게 무상으로 대여한 경우에는부당행위계산 부인의 대상이 되지 않으나 부친으로부터 높은 이자율(시가의 2배)로사업자금을 차입하여 그 이자를 필요경비에 산입한 경우에는 부당행위계산 부인의대상이 된다.,C,Income Tax Law,Thoery
